"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 12:28:12 GMT 2022","Mon May 23 12:28:23 GMT 2022","11720","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"skipped","Mon May 23 12:24:53 GMT 2022","Mon May 23 12:24:53 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"passed","Mon May 23 12:29:23 GMT 2022","Mon May 23 12:29:34 GMT 2022","10730","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"passed","Mon May 23 12:27:40 GMT 2022","Mon May 23 12:28:01 GMT 2022","20485","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"passed","Mon May 23 12:12:37 GMT 2022","Mon May 23 12:12:54 GMT 2022","16872","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Mon May 23 12:29:56 GMT 2022","Mon May 23 12:30:02 GMT 2022","6527","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"passed","Mon May 23 12:12:21 GMT 2022","Mon May 23 12:12:37 GMT 2022","15944","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
"passed","Mon May 23 12:25:15 GMT 2022","Mon May 23 12:25:52 GMT 2022","37422","Google Chrome","joinRoom/inRoom.test.js","","","","Verify Join peers",""
"passed","Mon May 23 12:10:57 GMT 2022","Mon May 23 12:11:24 GMT 2022","27150","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"skipped","Mon May 23 12:24:53 GMT 2022","Mon May 23 12:24:53 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"passed","Mon May 23 12:13:44 GMT 2022","Mon May 23 12:16:43 GMT 2022","178348","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"passed","Mon May 23 12:21:10 GMT 2022","Mon May 23 12:22:42 GMT 2022","91462","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Mon May 23 12:18:11 GMT 2022","Mon May 23 12:19:39 GMT 2022","87860","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Mon May 23 12:30:14 GMT 2022","Mon May 23 12:32:03 GMT 2022","109458","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"passed","Mon May 23 12:28:05 GMT 2022","Mon May 23 12:28:12 GMT 2022","6665","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"passed","Mon May 23 12:28:23 GMT 2022","Mon May 23 12:28:25 GMT 2022","2054","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"skipped","Mon May 23 12:22:54 GMT 2022","Mon May 23 12:22:54 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"skipped","Mon May 23 12:22:42 GMT 2022","Mon May 23 12:22:42 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"passed","Mon May 23 12:24:14 GMT 2022","Mon May 23 12:24:53 GMT 2022","39081","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Mon May 23 12:22:42 GMT 2022","Mon May 23 12:22:54 GMT 2022","11977","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"passed","Mon May 23 12:24:53 GMT 2022","Mon May 23 12:25:04 GMT 2022","10860","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
